MilesPerGallon;Cylinders;Displacement;RearAxleRatio;Weight;QuarterMileTime;VShapeOrStraightLine;AutomaticOrManual;Gears;Carburetor;HP
21;6;160;3.9;2.62;16.46;0;1;4;4;110
21;6;160;3.9;2.875;17.02;0;1;4;4;110
22.8;4;108;3.85;2.32;18.61;1;1;4;1;93
21.4;6;258;3.08;3.215;19.44;1;0;3;1;110
18.7;8;360;3.15;3.44;17.02;0;0;3;2;175
18.1;6;225;2.76;3.46;20.22;1;0;3;1;105
14.3;8;360;3.21;3.57;15.84;0;0;3;4;245
24.4;4;146.7;3.69;3.19;20;1;0;4;2;62
22.8;4;140.8;3.92;3.15;22.9;1;0;4;2;95
19.2;6;167.6;3.92;3.44;18.3;1;0;4;4;123
17.8;6;167.6;3.92;3.44;18.9;1;0;4;4;123
16.4;8;275.8;3.07;4.07;17.4;0;0;3;3;180
17.3;8;275.8;3.07;3.73;17.6;0;0;3;3;180
15.2;8;275.8;3.07;3.78;18;0;0;3;3;180
10.4;8;472;2.93;5.25;17.98;0;0;3;4;205
10.4;8;460;3;5.424;17.82;0;0;3;4;215
14.7;8;440;3.23;5.345;17.42;0;0;3;4;230
32.4;4;78.7;4.08;2.2;19.47;1;1;4;1;66
30.4;4;75.7;4.93;1.615;18.52;1;1;4;2;52
33.9;4;71.1;4.22;1.835;19.9;1;1;4;1;65
21.5;4;120.1;3.7;2.465;20.01;1;0;3;1;97
15.5;8;318;2.76;3.52;16.87;0;0;3;2;150
15.2;8;304;3.15;3.435;17.3;0;0;3;2;150
13.3;8;350;3.73;3.84;15.41;0;0;3;4;245
19.2;8;400;3.08;3.845;17.05;0;0;3;2;175
27.3;4;79;4.08;1.935;18.9;1;1;4;1;66
26;4;120.3;4.43;2.14;16.7;0;1;5;2;91
30.4;4;95.1;3.77;1.513;16.9;1;1;5;2;113
15.8;8;351;4.22;3.17;14.5;0;1;5;4;264
19.7;6;145;3.62;2.77;15.5;0;1;5;6;175
15;8;301;3.54;3.57;14.6;0;1;5;8;335
21.4;4;121;4.11;2.78;18.6;1;1;4;2;109
